black_ratio,image_ref,width,height,ref_count,models,url
"0.4620","q16_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q16_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q37_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","4","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q37_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q46_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q46_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q22_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","4","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q22_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q49_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","4","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q49_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q33_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q33_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q17_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q17_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q19_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q19_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q4_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","3","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q4_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q43_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q43_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q53_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q53_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q44_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q44_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q59_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q59_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q51_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","4","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q51_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q42_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q42_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4620","q48_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q48_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
"0.4428","cell_the_unit_of_life_questions_part_1/neet_cell-the-unit-of-life-questions-part-1_q013_img1.webp","200","113","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/cell_the_unit_of_life_questions_part_1/neet_cell-the-unit-of-life-questions-part-1_q013_img1.webp?tr=f-auto,q-auto"
"0.4411","Solutions/jee_solutions_part_1_q042_img1.webp","200","70","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/Solutions/jee_solutions_part_1_q042_img1.webp?tr=f-auto,q-auto"
"0.4387","chemical_thermodynamics/jee_chemical_thermodynamics_part_2_q044_img4.webp","200","47","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/chemical_thermodynamics/jee_chemical_thermodynamics_part_2_q044_img4.webp?tr=f-auto,q-auto"
"0.4381","ionic_equilibrium/jee_ionic_equilibrium_part_2_q011_img1.webp","120","131","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/ionic_equilibrium/jee_ionic_equilibrium_part_2_q011_img1.webp?tr=f-auto,q-auto"
"0.4380","ionic_equilibrium/jee_ionic_equilibrium_part_2_q011_img2.webp","120","131","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/ionic_equilibrium/jee_ionic_equilibrium_part_2_q011_img2.webp?tr=f-auto,q-auto"
"0.4371","ionic_equilibrium/jee_ionic_equilibrium_part_2_q011_img4.webp","120","131","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/ionic_equilibrium/jee_ionic_equilibrium_part_2_q011_img4.webp?tr=f-auto,q-auto"
"0.4359","chemical_thermodynamics/jee_chemical_thermodynamics_part_2_q044_img3.webp","200","58","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/chemical_thermodynamics/jee_chemical_thermodynamics_part_2_q044_img3.webp?tr=f-auto,q-auto"
"0.4326","ionic_equilibrium/jee_ionic_equilibrium_part_2_q011_img3.webp","120","130","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/ionic_equilibrium/jee_ionic_equilibrium_part_2_q011_img3.webp?tr=f-auto,q-auto"
"0.4233","chemical_thermodynamics/jee_chemical_thermodynamics_part_2_q044_img2.webp","200","46","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/chemical_thermodynamics/jee_chemical_thermodynamics_part_2_q044_img2.webp?tr=f-auto,q-auto"
"0.4214","chemical_thermodynamics/jee_chemical_thermodynamics_part_2_q044_img5.webp","200","47","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/chemical_thermodynamics/jee_chemical_thermodynamics_part_2_q044_img5.webp?tr=f-auto,q-auto"
"0.4022","locomotion_and_movement/neet_locomotion-and-movement_q010_img1.webp","200","143","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/locomotion_and_movement/neet_locomotion-and-movement_q010_img1.webp?tr=f-auto,q-auto"
"0.3953","13_apr_s2_optfix_what-happens-when-methance-und_img4_optC_20260512_092818.webp","200","50","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/13_apr_s2_optfix_what-happens-when-methance-und_img4_optC_20260512_092818.webp?tr=f-auto,q-auto"
"0.3937","12_apr_s1_optfix_in-the-following-reaction-12-a_img3_optB_20260512_092645.webp","200","98","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/12_apr_s1_optfix_in-the-following-reaction-12-a_img3_optB_20260512_092645.webp?tr=f-auto,q-auto"
"0.3933","13_apr_s2_optfix_what-happens-when-methance-und_img5_optD_20260512_092818.webp","200","50","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/13_apr_s2_optfix_what-happens-when-methance-und_img5_optD_20260512_092818.webp?tr=f-auto,q-auto"
"0.3917","gate-ee/ee_a-square-with-sides-of-length-6-mat_img1_20260516171528.webp","189","200","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/gate-ee/ee_a-square-with-sides-of-length-6-mat_img1_20260516171528.webp?tr=f-auto,q-auto"
"0.3876","13_apr_s2_optfix_what-happens-when-methance-und_img2_optA_20260512_092816.webp","200","51","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/13_apr_s2_optfix_what-happens-when-methance-und_img2_optA_20260512_092816.webp?tr=f-auto,q-auto"
"0.3875","13_apr_s2_optfix_what-happens-when-methance-und_img3_optB_20260512_092817.webp","200","65","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/13_apr_s2_optfix_what-happens-when-methance-und_img3_optB_20260512_092817.webp?tr=f-auto,q-auto"
"0.3799","biomolecules/jee_biomolecules_part_2_q013_img3.webp","200","95","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/biomolecules/jee_biomolecules_part_2_q013_img3.webp?tr=f-auto,q-auto"
"0.3784","principles_of_inheritance_and_variation_questions_part_3/neet_principles-of-inheritance-and-variation-questions-part-3_q027_img3.webp","200","67","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/principles_of_inheritance_and_variation_questions_part_3/neet_principles-of-inheritance-and-variation-questions-part-3_q027_img3.webp?tr=f-auto,q-auto"
"0.3701","biomolecules/jee_biomolecules_part_2_q013_img4.webp","200","85","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/biomolecules/jee_biomolecules_part_2_q013_img4.webp?tr=f-auto,q-auto"
"0.3699","biomolecules/jee_biomolecules_part_2_q013_img5.webp","200","85","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/biomolecules/jee_biomolecules_part_2_q013_img5.webp?tr=f-auto,q-auto"
"0.3697","Electrochemistry/jee_electrochemistry_part_3_q009_img1.webp","200","53","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/Electrochemistry/jee_electrochemistry_part_3_q009_img1.webp?tr=f-auto,q-auto"
"0.3664","biomolecules/jee_biomolecules_part_2_q013_img2.webp","200","95","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/biomolecules/jee_biomolecules_part_2_q013_img2.webp?tr=f-auto,q-auto"
"0.3618","anatomy_of_flowering_plants_questions_part_2/neet_anatomy-of-flowering-plants-questions-part-2_q009_img1.webp","133","174","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/anatomy_of_flowering_plants_questions_part_2/neet_anatomy-of-flowering-plants-questions-part-2_q009_img1.webp?tr=f-auto,q-auto"
"0.3606","Ray Optics and Optical Instruments/jee_ray_optics_and_optical_instruments_part_1_q072_img1.webp","200","43","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/Ray_Optics_and_Optical_Instruments/jee_ray_optics_and_optical_instruments_part_1_q072_img1.webp?tr=f-auto,q-auto"
"0.3595","sexual_reproduction_in_flowering_plants_questions_part_2/neet_sexual-reproduction-in-flowering-plants-questions-part-2_q017_img1.webp","169","200","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/sexual_reproduction_in_flowering_plants_questions_part_2/neet_sexual-reproduction-in-flowering-plants-questions-part-2_q017_img1.webp?tr=f-auto,q-auto"
"0.3585","02_sep_s2_physics_a-square-shaped-hole-of-side-l_img1_20260513_234357.webp","200","131","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/02_sep_s2_physics_a-square-shaped-hole-of-side-l_img1_20260513_234357.webp?tr=f-auto,q-auto"
"0.3584","q1_opt1_on_images_content_2026_03_28_image_580bdc4e1774666619331_png.png","185","130","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q1_opt1_on_images_content_2026_03_28_image_580bdc4e1774666619331_png.png?tr=f-auto,q-auto"
"0.3541","human_reproduction_questions_part_1/neet_human-reproduction-questions-part-1_q032_img1.webp","146","147","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/human_reproduction_questions_part_1/neet_human-reproduction-questions-part-1_q032_img1.webp?tr=f-auto,q-auto"
"0.3445","Chemical kinetics/jee_chemical_kinetics_part_2_q054_img1.webp","200","165","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/Chemical_kinetics/jee_chemical_kinetics_part_2_q054_img1.webp?tr=f-auto,q-auto"
"0.3413","q1_opt0_on_images_content_2026_03_28_image_2f52b4671774666641769_png.png","192","89","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q1_opt0_on_images_content_2026_03_28_image_2f52b4671774666641769_png.png?tr=f-auto,q-auto"
"0.3407","03_sep_s1_chemistry_henrys-constant-in-kbar-for-fo_img1_20260513_234647.webp","200","72","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/03_sep_s1_chemistry_henrys-constant-in-kbar-for-fo_img1_20260513_234647.webp?tr=f-auto,q-auto"
"0.3390","q1_opt3_on_images_content_2026_03_28_image_cbaccdad1774666694744_png.png","200","146","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q1_opt3_on_images_content_2026_03_28_image_cbaccdad1774666694744_png.png?tr=f-auto,q-auto"
"0.3327","Chemical kinetics/jee_chemical_kinetics_part_2_q039_img1.webp","200","97","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/Chemical_kinetics/jee_chemical_kinetics_part_2_q039_img1.webp?tr=f-auto,q-auto"
"0.3293","27_aug_s1_optfix_the-major-product-of-the-follo_img3_optB_20260512_085232.webp","200","51","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/27_aug_s1_optfix_the-major-product-of-the-follo_img3_optB_20260512_085232.webp?tr=f-auto,q-auto"
"0.3284","probability/jee_probability_3_q010_img1.webp","200","51","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/probability/jee_probability_3_q010_img1.webp?tr=f-auto,q-auto"
"0.3276","principles_of_inheritance_and_variation_questions_part_3/neet_principles-of-inheritance-and-variation-questions-part-3_q004_img1.webp","200","89","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/principles_of_inheritance_and_variation_questions_part_3/neet_principles-of-inheritance-and-variation-questions-part-3_q004_img1.webp?tr=f-auto,q-auto"
"0.3239","cell_cycle_and_cell_division/neet_cell-cycle-and-cell-division_q003_img1.webp","200","106","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/cell_cycle_and_cell_division/neet_cell-cycle-and-cell-division_q003_img1.webp?tr=f-auto,q-auto"
"0.3202","morphology_of_flowering_plants_questions_part_2/neet_morphology-of-flowering-plants-questions-part-2_q007_img1.webp","186","200","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/morphology_of_flowering_plants_questions_part_2/neet_morphology-of-flowering-plants-questions-part-2_q007_img1.webp?tr=f-auto,q-auto"
"0.3151","anatomy_of_flowering_plants_questions_part_2/neet_anatomy-of-flowering-plants-questions-part-2_q002_img1.webp","200","97","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/anatomy_of_flowering_plants_questions_part_2/neet_anatomy-of-flowering-plants-questions-part-2_q002_img1.webp?tr=f-auto,q-auto"
"0.3135","breathing_and_exchange_of_gases/neet_breathing-and-exchange-of-gases_q004_img1.webp","200","114","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/breathing_and_exchange_of_gases/neet_breathing-and-exchange-of-gases_q004_img1.webp?tr=f-auto,q-auto"
"0.3121","Chemical kinetics/jee_chemical_kinetics_part_1_q054_img1.webp","200","83","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/Chemical_kinetics/jee_chemical_kinetics_part_1_q054_img1.webp?tr=f-auto,q-auto"
"0.3116","26_jul_s2_optfix_match-list-i-with-list-ii-list_img1_20260512_085943.webp","200","152","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/26_jul_s2_optfix_match-list-i-with-list-ii-list_img1_20260512_085943.webp?tr=f-auto,q-auto"
"0.3116","plant_growth_and_development_questions_part_2/neet_plant-growth-and-development-questions-part-2_q002_img1.webp","200","120","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/plant_growth_and_development_questions_part_2/neet_plant-growth-and-development-questions-part-2_q002_img1.webp?tr=f-auto,q-auto"
"0.3103","chemical_bonding_and_molecular_structure_part_2/neet_chemical-bonding-and-molecular-structure-part-2_q012_img1.webp","200","94","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/chemical_bonding_and_molecular_structure_part_2/neet_chemical-bonding-and-molecular-structure-part-2_q012_img1.webp?tr=f-auto,q-auto"
"0.3099","optics_questions_part_2/neet_optics-questions-part-2_q001_img1.webp","164","200","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/optics_questions_part_2/neet_optics-questions-part-2_q001_img1.webp?tr=f-auto,q-auto"
"0.3077","anatomy_of_flowering_plants_questions_part_2/neet_anatomy-of-flowering-plants-questions-part-2_q008_img1.webp","200","108","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/anatomy_of_flowering_plants_questions_part_2/neet_anatomy-of-flowering-plants-questions-part-2_q008_img1.webp?tr=f-auto,q-auto"
"0.3057","q1_opt2_on_images_content_2026_03_28_image_510f57a71774666665524_png.png","200","110","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q1_opt2_on_images_content_2026_03_28_image_510f57a71774666665524_png.png?tr=f-auto,q-auto"
"0.3057","q1_exp_on_images_content_2026_03_28_image_510f57a71774666665524_png.png","200","110","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q1_exp_on_images_content_2026_03_28_image_510f57a71774666665524_png.png?tr=f-auto,q-auto"
"0.3021","Coordination Compounds/jee_coordination_compounds_part_3_q082_img1.webp","195","200","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/Coordination_Compounds/jee_coordination_compounds_part_3_q082_img1.webp?tr=f-auto,q-auto"
"0.3020","ecosystem_questions/neet_ecosystem-questions_q004_img1.webp","200","114","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/ecosystem_questions/neet_ecosystem-questions_q004_img1.webp?tr=f-auto,q-auto"
