source,ref,field,error_type,message,span,snippet
"PYQ","09602dbd-543e-4e6d-b78b-50e57eac8155","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 6: |z + ̲rac{1}{2}| 	ext…","|z + rac{1}{2}| 	extgreater= ||z| - |-rac{1}{2}|| 	extgreater= 2 - rac{1}{2} = rac{3}{2}","The triangle inequality $|z_1 + z_2| 	extgreater= ||z_1| - |z_2||$ provides the lower bound for the magnitude of a complex sum. Given $|z| 	extgreater= 2$, substituting into this inequality gives $|z "
"PYQ","09602dbd-543e-4e6d-b78b-50e57eac8155","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 1: ̲rac{3}{2}","rac{3}{2}","The triangle inequality $|z_1 + z_2| 	extgreater= ||z_1| - |z_2||$ provides the lower bound for the magnitude of a complex sum. Given $|z| 	extgreater= 2$, substituting into this inequality gives $|z "
"PYQ","096db94b-f55b-46b6-b038-8dd00a9f347f","explanation","Expected group as argument to '…'","KaTeX parse error: Expected group as argument to '\^' at position 146: …}\ ) \ {i} ^{\^}̲","\ \vec{E} \approx  2 K q D\ (\ {1}/{D^{3}\ (1+\ \frac{d^{2}}{D^{2}}\ )^{3 / 2}}-\ {1}/{D^{2}\ (1+\ \frac{4 d^{2}}{D^{2}} )^{3 / 2}}\ ) \ {i} ^{\^}","Electric field one to A and D together will be along –ve x-axis, since, the vertical components get cancelled. Similarly, due B and C, in the +ve X- axis Net electric field due to A and D $=2 ×{k q}/{"
"PYQ","0a142d17-f272-4c15-9f77-3ecf502c019b","question_text","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 1: ̲rac{f_1}{f}","rac{f_1}{f}","A thin lens made of glass (refractive index = 1.5) of focal length $f=16$ cm is immersed in a liquid of refractive index 1.42. If its focal length in liquid is $f_1$, then the ratio $rac{f_1}{f}$ is "
"PYQ","0ae5db49-9b02-46cc-b5c6-414c1c4e34e1","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 380: …2+x+xP} \right]$̲E \end{aligned}…"," \begin{aligned} V_0 &= \left[ \frac{R(1+x)}{PR+R(1+x)}-\frac{R}{R+PR} \right]E\\ V_0 &=\left[ \frac{R(1+x)}{R+(1+x+P)}-\frac{R}{R+(1+P)} \right]E \\ V_0&= \left[ \frac{1+x}{1+x+P}-\frac{1}{1+P} \right]E\\ V_0&=\left[ \frac{(1+x)(1+P)-(1+x+P)}{(1+x+P)(1+P)} \right]E \\ V_0&=\left[ \frac{1+x+Px+P-1-x","$\begin{aligned} V_0 &= \left [ \frac{R(1+x)}{PR+R(1+x)}-\frac{R}{R+PR} \right ]E\\ V_0 &=\left [ \frac{R(1+x)}{R+(1+x+P)}-\frac{R}{R+(1+P)} \right ]E \\ V_0&= \left [ \frac{1+x}{1+x+P}-\frac{1}{1+P} "
"PYQ","0bdd4f32-3da7-4574-adb8-c178e9d556a3","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 1: ̲rac{10!}{6!4!}","rac{10!}{6!4!}","Choosing 6 ice creams from 5 distinct types is a combination with repetition problem, solved using the formula ${}^{n+r-1}C_{r-1}$ where $n=6$ and $r=5$, yielding ${}^{10}C_4$. Since the value of ${}^"
"PYQ","0d4ada3c-765a-498c-92dd-5852213ca28f","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","\log \frac{[\mathrm{Fe}^{2+}]}","The relationship between the non-standard potential of an electrochemical cell and the concentrations of its reactants is described by the Nernst equation. For the given reaction $\mathrm{Zn} + 2\math"
"PYQ","0d4ada3c-765a-498c-92dd-5852213ca28f","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","\frac{[\mathrm{Fe}^{2+}]}","The relationship between the non-standard potential of an electrochemical cell and the concentrations of its reactants is described by the Nernst equation. For the given reaction $\mathrm{Zn} + 2\math"
"PYQ","0d4ada3c-765a-498c-92dd-5852213ca28f","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{3+}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{3+}]}","\frac{[\mathrm{Fe}^{3+}]}","The relationship between the non-standard potential of an electrochemical cell and the concentrations of its reactants is described by the Nernst equation. For the given reaction $\mathrm{Zn} + 2\math"
"PYQ","0d4ada3c-765a-498c-92dd-5852213ca28f","explanation","Unexpected end of input in a macro argument, expected '}'","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at position 39: …thrm{Fe}^{2+}]}}̲","\frac{1}{1 + \frac{[\mathrm{Fe}^{2+}]}}","The relationship between the non-standard potential of an electrochemical cell and the concentrations of its reactants is described by the Nernst equation. For the given reaction $\mathrm{Zn} + 2\math"
"PYQ","0d721b84-7aff-4fac-98ae-2a181443f602","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 1: ̲inom{n+r-1}{r-1…","inom{n+r-1}{r-1}","The number of non-negative integer solutions to $x+y+z=15$ is found using the stars and bars formula $inom{n+r-1}{r-1}$, which gives $inom{15+3-1}{3-1} = inom{17}{2} = 136$. To find the number of s"
"PYQ","0d721b84-7aff-4fac-98ae-2a181443f602","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 1: ̲inom{15+3-1}{3-…","inom{15+3-1}{3-1} = inom{17}{2} = 136","The number of non-negative integer solutions to $x+y+z=15$ is found using the stars and bars formula $inom{n+r-1}{r-1}$, which gives $inom{15+3-1}{3-1} = inom{17}{2} = 136$. To find the number of s"
"PYQ","0da50e52-7885-453a-a3db-a76d5c7ff370","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 167: …}-15^{2}\right]$̲}{\ln \left[\fr…"," \begin{aligned} & Q=\frac{\pi \cdot K\left[h_{1}^{2}-h_{2}^{2}\right]\$}{\ln \left[\frac{r_{2}}{r_{1}}\right]}=\frac{\pi \times  10 \times \left[19^{2}-15^{2}\right]$}{\ln \left[\frac{100}{10}\right]} \\ & Q=1855.55 \mathrm{~m}^{3} / \text { day } \end{aligned} ","Thickness of aquifer, $H=20 \mathrm{~m}$ $\begin{aligned} & r_{1}=10 \mathrm{~m} \\ & r_{2}=100 \mathrm{~m} \\ & h_{2}=H-S_{w 1}=20-5=15 \mathrm{~m} \\ & h_{1}=H-S_{w 2}=20-1=19 \mathrm{~m} \end{align"
"PYQ","0e1e461b-e486-470f-a12e-7d5c695a07ce","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 102: …$[(2+t)e^{-3t}]$̲\times  u(t) \\…"," \begin{aligned} y(t)&=\int_{0}^{t}(2+t-\tau )e^{-3(t-\tau )} u(\tau )d\tau \\ y(t)&=\$[(2+t)e^{-3t}]$\times  u(t) \\ \therefore \; H(s)&=\frac{2}{s+3}+\frac{1}{(s+3)^2} \\ \therefore \; T.F.&=H(s)=\frac{2s+7}{(s+3)^2} \end{aligned} ","$\begin{aligned} y(t)&=\int_{0}^{t}(2+t-\tau )e^{-3(t-\tau )} u(\tau )d\tau \\ y(t)&=[(2+t)e^{-3t}]\times u(t) \\ \therefore \; H(s)&=\frac{2}{s+3}+\frac{1}{(s+3)^2} \\ \therefore \; T.F.&=H(s)=\frac{"
"PYQ","0eb5349f-d10a-4f2c-86db-647ce93dfd52","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 314: …}^{T}dt \right]$̲\\ &=\frac{144}…"," \begin{aligned} I_{rms} &=\left[ \frac{1}{T}\int_{0}^{T}i^2(t) \right]^{1/2} \\ \therefore \; I^2_{rms} &=\left[ \frac{1}{T}\int_{0}^{T/2}\left ( -\frac{12t}{T} \right )^2 dt+\frac{1}{T}\int_{T/2}^{T}6^2 dt \right]\$ \\ \&= \left[\frac{1}{T}\int_{0}^{T/2}\frac{144t^2}{T^2}dt+\frac{36}{T}\int_{T/2}^","$\begin{aligned} I_{rms} &=\left [ \frac{1}{T}\int_{0}^{T}i^2(t) \right ]^{1/2} \\ \therefore \; I^2_{rms} &=\left [ \frac{1}{T}\int_{0}^{T/2}\left ( -\frac{12t}{T} \right )^2 dt+\frac{1}{T}\int_{T/2}"
"PYQ","0efe6c51-4a6e-4321-9305-c701f9316155","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 153: …; mol\\ \$[H^+]$̲ \text{ in 1 li…"," \begin{aligned} \text{1 mole of }HNO_3&=\text{1 mole of }H^+\\ \text{No. of mole of }HNO_3&=\frac{100}{(1+14+16 \times  3)}\\ &=1.587 m\; mol\\ \$[H^+]$ \text{ in 1 lit. of water }&=1.587 m\;mol/Lit\\ &=1.587 \times  10^{-3}\;mol/Lit\\ pH&=-\log\$[H^+]$\\ &=\log\$[1.587 \times  10^{-3}]$\\ &=2.8 \e","$HNO_3\rightarrow H^++NO_3^{-}$ $\begin{aligned} \text{1 mole of }HNO_3&=\text{1 mole of }H^+\\ \text{No. of mole of }HNO_3&=\frac{100}{(1+14+16 \times 3)}\\ &=1.587 m\; mol\\ [H^+] \text{ in 1 lit. o"
"PYQ","0f621b19-4d71-4fb2-86d2-1dabc2feb136","explanation","Expected group as argument to '…'","KaTeX parse error: Expected group as argument to '\^' at position 70: … {\text{B}}^{\^}̲}=\;{5(4 { {\te…","\;\overline{ {\text{N}}}={|\overline{ {\text{A}}}|}\ { {\text{B}}^{\^}}=\;{5(4 { {\text{i}}^{\^}}+3 { {\text{j}}^{\^}})}/{5}=4 { {\text{i}}^{\^}}+3 { {\text{j}}^{\^}}","$\;\overline{ {\text{N}}}={|\overline{ {\text{A}}}|}\ { {\text{B}}↖{\^}}=\;{5(4 { {\text{i}}↖{\^}}+3 { {\text{j}}↖{\^}})}/{5}=4 { {\text{i}}↖{\^}}+3 { {\text{j}}↖{\^}}$ $\; ∴ {\text{x}}=4$"
"PYQ","0fc5f0ae-f363-42c5-8044-e06c32241079","explanation","Can'…'\frac' in text mode","KaTeX parse error: Can't use function '\frac' in text mode at position 30: …/\text{V}=\text\̲f̲r̲a̲c̲{M}{4/3\pi (\te…","\rho =\text{M}/\text{V}=\text\frac{M}{4/3\pi (\text{D}/2)^3}","$\ρ=\text{M}/\text{V}=\text{M}/{4/3\π(\text{D}/2)^3}$ $=6/\π\text{M}\text{D}^{-3}$ taking log $l {n} \ρ=l {n}({6}{\π})+l {\text{nM}}-3 l {\text{mD}}$ Differentiates${{d} \ρ}/{\ρ}=0+{{dM}}/{ {M}}-3 {{d"
"PYQ","10367221-be89-4b67-a8d7-56fe6eb109e5","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …;\frac{[x^{2}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …;\frac{[x^{2}]}"," \Rightarrow [\alpha ]=\;\frac{[x^{2}]}","Given, work done, $W=α ⋅ β^{2} e^{-\;{x^{2}}/{a k T}}$ where, $k$ is Boltzmann constant, $T$ is temperature and $x$ is displacement. We know that, $\;{x^{2}}/{α k T}$ is a dimensionless quantity. $∴ \"
"PYQ","10367221-be89-4b67-a8d7-56fe6eb109e5","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …;\frac{[L^{2}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …;\frac{[L^{2}]}","[\alpha ] \;\; =\;\frac{[L^{2}]}","Given, work done, $W=α ⋅ β^{2} e^{-\;{x^{2}}/{a k T}}$ where, $k$ is Boltzmann constant, $T$ is temperature and $x$ is displacement. We know that, $\;{x^{2}}/{α k T}$ is a dimensionless quantity. $∴ \"
"PYQ","10367221-be89-4b67-a8d7-56fe6eb109e5","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: … L^{2} T^{-2}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: … L^{2} T^{-2}]}","\;=\;\frac{[M^{1} L^{2} T^{-2}]}","Given, work done, $W=α ⋅ β^{2} e^{-\;{x^{2}}/{a k T}}$ where, $k$ is Boltzmann constant, $T$ is temperature and $x$ is displacement. We know that, $\;{x^{2}}/{α k T}$ is a dimensionless quantity. $∴ \"
"PYQ","10799c35-c2b6-4e49-a159-d06ccb873fc1","explanation","Expected group as argument to '…'","KaTeX parse error: Expected group as argument to '\^' at position 49: … {\text{i}}^{\^}̲})","\;=5 \times (0.2) \times (0.1)(-{ {\text{i}}^{\^}})","$\;{ {\text{M}}}↖{→}= {\text{i}} { {\text{A}}}↖{→}$ $\;=5 ×(0.2) ×(0.1)(-{ {\text{i}}↖{\^}})$ $\;=0.1(-{ {\text{i}}↖{\^}})$ $\;\vec{τ}={ {\text{M}}}↖{→} × { {\text{B}}}↖{→}=0.1(-{ {\text{i}}↖{\^}})$ $"
"PYQ","10799c35-c2b6-4e49-a159-d06ccb873fc1","explanation","Expected group as argument to '…'","KaTeX parse error: Expected group as argument to '\^' at position 25: … {\text{i}}^{\^}̲})","\;=0.1(-{ {\text{i}}^{\^}})","$\;{ {\text{M}}}↖{→}= {\text{i}} { {\text{A}}}↖{→}$ $\;=5 ×(0.2) ×(0.1)(-{ {\text{i}}↖{\^}})$ $\;=0.1(-{ {\text{i}}↖{\^}})$ $\;\vec{τ}={ {\text{M}}}↖{→} × { {\text{B}}}↖{→}=0.1(-{ {\text{i}}↖{\^}})$ $"
"PYQ","10799c35-c2b6-4e49-a159-d06ccb873fc1","explanation","Expected group as argument to '…'","KaTeX parse error: Expected group as argument to '\^' at position 86: … {\text{i}}^{\^}̲})","\;\vec{\tau }={ {\text{M}}}^{\to } \times  { {\text{B}}}^{\to }=0.1(-{ {\text{i}}^{\^}})","$\;{ {\text{M}}}↖{→}= {\text{i}} { {\text{A}}}↖{→}$ $\;=5 ×(0.2) ×(0.1)(-{ {\text{i}}↖{\^}})$ $\;=0.1(-{ {\text{i}}↖{\^}})$ $\;\vec{τ}={ {\text{M}}}↖{→} × { {\text{B}}}↖{→}=0.1(-{ {\text{i}}↖{\^}})$ $"
"PYQ","10799c35-c2b6-4e49-a159-d06ccb873fc1","explanation","Expected group as argument to '…'","KaTeX parse error: Expected group as argument to '\^' at position 46: … {\text{j}}^{\^}̲})","\times  (2 \times  10^{-3}) ({ {\text{j}}^{\^}})","$\;{ {\text{M}}}↖{→}= {\text{i}} { {\text{A}}}↖{→}$ $\;=5 ×(0.2) ×(0.1)(-{ {\text{i}}↖{\^}})$ $\;=0.1(-{ {\text{i}}↖{\^}})$ $\;\vec{τ}={ {\text{M}}}↖{→} × { {\text{B}}}↖{→}=0.1(-{ {\text{i}}↖{\^}})$ $"
"PYQ","10799c35-c2b6-4e49-a159-d06ccb873fc1","explanation","Expected group as argument to '…'","KaTeX parse error: Expected group as argument to '\^' at position 39: … {\text{k}}^{\^}̲}) {\text{N}}- …","\;=2 \times  10^{-4}(-{ {\text{k}}^{\^}}) {\text{N}}- {\text{m}}","$\;{ {\text{M}}}↖{→}= {\text{i}} { {\text{A}}}↖{→}$ $\;=5 ×(0.2) ×(0.1)(-{ {\text{i}}↖{\^}})$ $\;=0.1(-{ {\text{i}}↖{\^}})$ $\;\vec{τ}={ {\text{M}}}↖{→} × { {\text{B}}}↖{→}=0.1(-{ {\text{i}}↖{\^}})$ $"
